Pathway	Related Pathway
hsa04151	hsa04012
hsa04151	hsa04062
hsa04151	hsa04064
hsa04151	hsa04068
hsa04151	hsa04110
hsa04151	hsa04115
hsa04151	hsa04150
hsa04151	hsa04210
hsa04151	hsa04510
hsa04151	hsa04620
hsa04151	hsa04662
hsa04151	hsa04910
hsa04152	hsa00010
hsa04152	hsa00061
hsa04152	hsa00500
hsa04152	hsa01040
hsa04152	hsa04110
hsa04152	hsa04140
hsa04152	hsa04150
hsa04152	hsa04151
hsa04152	hsa04910
hsa04152	hsa04920
hsa04150	hsa00561
hsa04150	hsa04010
hsa04150	hsa04140
hsa04150	hsa04152
hsa04150	hsa04810
hsa04150	hsa04910
hsa04512	hsa04510
hsa04514	hsa04520
hsa04514	hsa04530
hsa04514	hsa04610
hsa04514	hsa04660
hsa04514	hsa04670
hsa04144	hsa04060
hsa04144	hsa04130
hsa04144	hsa04142
hsa04144	hsa04350
hsa04145	hsa04142
hsa04145	hsa04144
hsa04145	hsa04610
hsa04145	hsa04612
hsa04145	hsa04620
hsa04145	hsa04666
hsa04142	hsa00511
hsa04142	hsa00531
hsa04142	hsa04130
hsa04142	hsa04140
hsa04146	hsa00071
hsa04146	hsa00120
hsa04146	hsa00230
hsa04146	hsa00564
hsa04146	hsa00565
hsa04146	hsa00830
hsa04146	hsa00900
hsa04146	hsa03320
hsa04140	hsa04010
hsa04140	hsa04141
hsa04140	hsa04152
hsa04140	hsa04910
hsa04137	hsa04140
hsa04137	hsa04210
hsa04148	hsa00010
hsa04148	hsa04140
hsa04148	hsa04145
hsa04110	hsa03030
hsa04110	hsa04120
hsa04110	hsa04210
hsa04114	hsa04010
hsa04114	hsa04120
hsa04114	hsa04914
hsa04210	hsa04115
hsa04210	hsa04650
hsa04215	hsa04210
hsa04216	hsa00480
hsa04216	hsa00900
hsa04217	hsa00250
hsa04217	hsa04210
hsa04217	hsa04668
hsa04217	hsa04922
hsa04115	hsa04110
hsa04115	hsa04218
hsa04218	hsa04020
hsa04218	hsa04068
hsa04218	hsa04110
hsa04218	hsa04150
hsa04510	hsa04010
hsa04510	hsa04060
hsa04510	hsa04110
hsa04510	hsa04810
hsa04520	hsa04010
hsa04520	hsa04060
hsa04520	hsa04350
hsa04520	hsa04530
hsa04520	hsa04810
hsa04530	hsa04810
hsa04540	hsa04010
hsa04540	hsa04020
hsa04540	hsa04060
hsa04540	hsa04070
hsa04540	hsa04080
hsa04550	hsa04010
hsa04550	hsa04151
hsa04550	hsa04310
hsa04550	hsa04350
hsa04550	hsa04630
hsa04820	hsa04512
hsa04820	hsa04814
hsa04810	hsa04010
hsa04610	hsa04611
hsa04610	hsa04662
hsa04610	hsa04750
hsa04611	hsa00590
hsa04611	hsa04015
hsa04611	hsa04020
hsa04611	hsa04151
hsa04611	hsa05211
hsa04613	hsa04010
hsa04613	hsa04020
hsa04613	hsa04140
hsa04613	hsa04151
hsa04613	hsa04610
hsa04613	hsa04611
hsa04613	hsa04620
hsa04613	hsa04621
hsa04613	hsa04666
hsa04620	hsa04010
hsa04620	hsa04060
hsa04620	hsa04120
hsa04620	hsa04210
hsa04620	hsa04610
hsa04620	hsa04630
hsa04621	hsa04010
hsa04621	hsa04064
hsa04621	hsa04140
hsa04621	hsa04620
hsa04622	hsa04010
hsa04622	hsa04120
hsa04622	hsa04210
hsa04622	hsa04630
hsa04623	hsa04064
hsa04623	hsa04120
hsa04623	hsa04210
hsa04623	hsa04217
hsa04623	hsa04621
hsa04623	hsa04622
hsa04625	hsa04658
hsa04625	hsa04659
hsa04650	hsa04010
hsa04650	hsa04020
hsa04650	hsa04060
hsa04650	hsa04630
hsa04612	hsa03050
hsa04612	hsa04650
hsa04612	hsa04660
hsa04660	hsa04010
hsa04660	hsa04020
hsa04660	hsa04120
hsa04660	hsa04151
hsa04660	hsa04514
hsa04660	hsa04810
hsa04658	hsa04010
hsa04658	hsa04020
hsa04658	hsa04064
hsa04658	hsa04330
hsa04658	hsa04514
hsa04658	hsa04630
hsa04658	hsa04660
hsa04659	hsa04010
hsa04659	hsa04020
hsa04659	hsa04064
hsa04659	hsa04066
hsa04659	hsa04350
hsa04659	hsa04514
hsa04659	hsa04620
hsa04659	hsa04630
hsa04659	hsa04660
hsa04659	hsa05321
hsa04659	hsa05323
hsa04657	hsa04010
hsa04657	hsa04060
hsa04657	hsa04064
hsa04657	hsa04210
hsa04657	hsa04659
hsa04662	hsa04010
hsa04662	hsa04020
hsa04662	hsa04064
hsa04662	hsa04120
hsa04662	hsa04151
hsa04662	hsa04610
hsa04662	hsa04810
hsa04664	hsa00590
hsa04664	hsa04010
hsa04664	hsa04070
hsa04666	hsa04020
hsa04666	hsa04142
hsa04666	hsa04144
hsa04666	hsa04810
hsa04670	hsa04514
hsa04670	hsa04810
hsa04672	hsa04612
hsa04672	hsa04660
hsa04672	hsa04662
hsa04672	hsa04670
hsa04062	hsa04010
hsa04062	hsa04060
hsa04062	hsa04120
hsa04062	hsa04630
hsa04062	hsa04670
hsa04062	hsa04810
hsa04911	hsa00020
hsa04911	hsa04020
hsa04910	hsa00010
hsa04910	hsa00061
hsa04910	hsa00500
hsa04910	hsa04010
hsa04910	hsa04070
hsa04910	hsa04210
hsa04922	hsa00010
hsa04922	hsa00020
hsa04922	hsa00061
hsa04922	hsa00190
hsa04922	hsa04020
hsa04922	hsa04024
hsa04922	hsa04068
hsa04922	hsa04910
hsa04923	hsa00561
hsa04923	hsa00590
hsa04923	hsa04022
hsa04923	hsa04024
hsa04923	hsa04910
hsa04920	hsa04010
hsa04920	hsa04910
hsa03320	hsa00071
hsa03320	hsa00120
hsa03320	hsa00564
hsa03320	hsa04920
hsa04929	hsa04010
hsa04929	hsa04020
hsa04929	hsa04151
hsa04929	hsa04912
hsa04929	hsa04913
hsa04929	hsa04915
hsa04912	hsa04010
hsa04912	hsa04020
hsa04912	hsa04024
hsa04912	hsa04060
hsa04912	hsa04080
hsa04913	hsa00140
hsa04913	hsa04350
hsa04913	hsa04910
hsa04913	hsa04912
hsa04915	hsa04010
hsa04915	hsa04020
hsa04915	hsa04151
hsa04915	hsa04270
hsa04915	hsa04727
hsa04915	hsa04913
hsa04914	hsa04010
hsa04914	hsa04110
hsa04917	hsa04010
hsa04917	hsa04151
hsa04917	hsa04630
hsa04917	hsa04728
hsa04917	hsa04911
hsa04917	hsa04913
hsa04917	hsa04915
hsa04921	hsa00590
hsa04921	hsa04010
hsa04921	hsa04020
hsa04921	hsa04110
hsa04926	hsa04010
hsa04926	hsa04020
hsa04926	hsa04024
hsa04926	hsa04064
hsa04926	hsa04151
hsa04926	hsa04270
hsa04926	hsa04350
hsa04926	hsa04370
hsa04935	hsa04010
hsa04935	hsa04020
hsa04935	hsa04024
hsa04935	hsa04630
hsa04918	hsa00350
hsa04918	hsa00480
hsa04918	hsa04020
hsa04918	hsa04142
hsa04918	hsa04146
hsa04918	hsa04530
hsa04919	hsa00010
hsa04919	hsa04010
hsa04919	hsa04020
hsa04919	hsa04066
hsa04919	hsa04115
hsa04919	hsa04150
hsa04919	hsa04151
hsa04919	hsa04260
hsa04919	hsa04310
hsa04919	hsa04330
hsa04919	hsa04810
hsa04919	hsa04918
hsa04928	hsa04012
hsa04928	hsa04020
hsa04928	hsa04024
hsa04928	hsa04310
hsa04928	hsa04380
hsa04928	hsa04961
hsa04916	hsa00350
hsa04916	hsa04010
hsa04916	hsa04310
hsa04916	hsa05218
hsa04924	hsa04020
hsa04924	hsa04022
hsa04924	hsa04024
hsa04924	hsa04614
hsa04614	hsa04270
hsa04614	hsa04610
hsa04614	hsa04924
hsa04614	hsa04925
hsa04925	hsa00140
hsa04925	hsa00590
hsa04925	hsa04020
hsa04925	hsa04022
hsa04925	hsa04024
hsa04925	hsa04614
hsa04925	hsa04960
hsa04927	hsa00140
hsa04927	hsa04020
hsa04927	hsa04024
hsa04927	hsa04960
hsa04260	hsa04020
hsa04261	hsa04020
hsa04261	hsa04151
hsa04261	hsa04260
hsa04270	hsa00590
hsa04270	hsa04020
hsa04970	hsa04020
hsa04970	hsa04530
hsa04970	hsa04973
hsa04971	hsa04020
hsa04971	hsa04530
hsa04971	hsa04974
hsa04972	hsa04020
hsa04972	hsa04530
hsa04972	hsa04973
hsa04972	hsa04974
hsa04972	hsa04975
hsa04972	hsa04977
hsa04976	hsa00120
hsa04976	hsa04144
hsa04976	hsa04530
hsa04976	hsa04975
hsa04973	hsa04530
hsa04973	hsa04742
hsa04974	hsa00250
hsa04974	hsa04530
hsa04975	hsa00561
hsa04975	hsa04530
hsa04979	hsa00100
hsa04979	hsa00120
hsa04979	hsa00900
hsa04979	hsa04975
hsa04979	hsa04976
hsa04977	hsa04142
hsa04977	hsa04144
hsa04977	hsa04975
hsa04977	hsa04976
hsa04977	hsa04980
hsa04980	hsa00270
hsa04980	hsa00280
hsa04980	hsa00670
hsa04980	hsa04144
hsa04978	hsa00860
hsa04978	hsa04530
hsa04978	hsa04973
hsa04978	hsa04974
hsa04962	hsa04144
hsa04962	hsa04530
hsa04960	hsa00140
hsa04960	hsa04120
hsa04960	hsa04530
hsa04961	hsa04144
hsa04961	hsa04530
hsa04964	hsa00010
hsa04964	hsa00020
hsa04964	hsa04530
hsa04966	hsa04530
hsa04724	hsa00020
hsa04724	hsa04020
hsa04724	hsa04720
hsa04724	hsa04721
hsa04724	hsa04730
hsa04727	hsa00020
hsa04727	hsa00250
hsa04727	hsa04144
hsa04727	hsa04721
hsa04725	hsa00564
hsa04725	hsa04010
hsa04725	hsa04020
hsa04725	hsa04721
hsa04725	hsa04975
hsa04728	hsa00350
hsa04728	hsa04020
hsa04728	hsa04721
hsa04728	hsa04724
hsa04728	hsa05012
hsa04726	hsa00380
hsa04726	hsa00590
hsa04726	hsa04020
hsa04726	hsa04721
hsa04726	hsa04976
hsa04720	hsa04010
hsa04723	hsa00190
hsa04723	hsa04020
hsa04723	hsa04721
hsa04723	hsa04724
hsa04723	hsa04727
hsa04721	hsa04144
hsa04722	hsa04010
hsa04722	hsa04120
hsa04722	hsa04210
hsa04722	hsa04720
hsa04722	hsa04810
hsa04744	hsa00830
hsa04740	hsa00230
hsa04740	hsa04024
hsa04742	hsa04020
hsa04750	hsa00590
hsa04750	hsa04010
hsa04750	hsa04020
hsa04360	hsa04010
hsa04360	hsa04060
hsa04360	hsa04310
hsa04360	hsa04810
hsa04380	hsa04010
hsa04380	hsa04020
hsa04380	hsa04151
hsa04380	hsa04630
