Pathway_ID	Pathway_Name	Class	Gene	Drug	Related_Pathway
hsa00650	Butanoate metabolism - Homo sapiens (human)	Metabolism; Carbohydrate metabolism	ACAT2; ACAT1; HADH; HADHA; EHHADH; ECHS1; ACADS; ACSM1; ACSM2A; ACSM4; ACSM5; ACSM3; ACSM2B; ACSM6; L2HGDH; GAD1; GAD2; ABAT; ALDH5A1; HMGCS1; HMGCS2; HMGCL; HMGCLL1; OXCT1; OXCT2; AACS; BDH1	NA	Glycolysis / Gluconeogenesis; Citrate cycle (TCA cycle); Alanine, aspartate and glutamate metabolism; Arginine and proline metabolism; Pyruvate metabolism; Vitamin B6 metabolism
hsa00562	Inositol phosphate metabolism - Homo sapiens (human)	Metabolism; Carbohydrate metabolism	PIK3C3; MTM1; MTMR1; MTMR2; MTMR3; MTMR4; MTMR8; MTMR6; MTMR7; MTMR14; PI4KA; PI4KB; PI4K2A; PI4K2B; SACM1L; INPP5F; PIP5K1C; PIP5K1A; PIP5K1B; PIP5KL1; OCRL; INPP5B; INPP5E; SYNJ1; SYNJ2; PIK3CA; PIK3CD; PIK3CB; PIK3CG; PTEN; INPP5D; INPPL1; PIK3C2G; PIK3C2A; PIK3C2B; INPP4A; INPP4B; PIKFYVE; FIG4; PIP4K2C; PIP4K2A; PIP4K2B; PLCB1; PLCB2; PLCB3; PLCB4; PLCD1; PLCD3; PLCD4; PLCE1; PLCG1; PLCG2; PLCZ1; PLCH1; PLCH2; IMPA2; IMPA1; CDIPT; ISYNA1; INPP1; INPP5A; INPP5K; INPP5J; MINPP1; ITPKB; ITPKA; ITPKC; ITPK1; IPMK; IPPK; MIOX; ALDH6A1; TPI1	D11158; Leniolisib (USAN/INN); D11159; Leniolisib phosphate (USAN); D11319; Fimepinostat (USAN/INN); D11322; Umbralisib (USAN/INN); D11323; Umbralisib tosylate (USAN)	Glycolysis / Gluconeogenesis; Citrate cycle (TCA cycle); Pentose and glucuronate interconversions; Glycerophospholipid metabolism
hsa00190	Oxidative phosphorylation - Homo sapiens (human)	Metabolism; Energy metabolism	ND1; ND2; ND3; ND4; ND4L; ND5; ND6; NDUFS1; NDUFS2; NDUFS3; NDUFS4; NDUFS5; NDUFS6; NDUFS7; NDUFS8; NDUFV1; NDUFV2; NDUFV3; NDUFA1; NDUFA2; NDUFA3; NDUFA4; NDUFA4L2; NDUFA5; NDUFA6; NDUFA7; NDUFA8; NDUFA9; NDUFA10; NDUFAB1; NDUFA11; NDUFA12; NDUFA13; NDUFB1; NDUFB2; NDUFB3; NDUFB4; NDUFB5; NDUFB6; NDUFB7; NDUFB8; NDUFB9; NDUFB10; NDUFB11; NDUFC1; NDUFC2; NDUFC2-KCTD14; SDHA; SDHB; SDHC; SDHD; UQCRFS1; CYTB; CYC1; UQCRC1; UQCRC2; UQCRH; UQCRHL; UQCRB; UQCRQ; UQCR10; UQCR11; COX10; COX3; COX1; COX2; COX4I2; COX4I1; COX5A; COX5B; COX6A1; COX6A2; COX6B1; COX6B2; COX6C; COX7A1; COX7A2; COX7A2L; COX7B; COX7B2; COX7C; COX8C; COX8A; COX11; COX15; COX17; CYCS; ATP5F1A; ATP5F1B; ATP5F1C; ATP5F1D; ATP5F1E; ATP5PO; ATP6; ATP5PB; ATP5MC1; ATP5MC2; ATP5MC3; ATP5PD; ATP5ME; ATP5MF; ATP5MG; ATP5PF; ATP8; ATP6V1A; ATP6V1B1; ATP6V1B2; ATP6V1C2; ATP6V1C1; ATP6V1D; ATP6V1E2; ATP6V1E1; ATP6V1F; ATP6V1G1; ATP6V1G3; ATP6V1G2; ATP6V1H; TCIRG1; ATP6V0A2; ATP6V0A4; ATP6V0A1; ATP6V0C; ATP6V0B; ATP6V0D1; ATP6V0D2; ATP6V0E1; ATP6V0E2; ATP6AP1; ATP4A; ATP4B; ATP12A; PPA2; PPA1; LHPP	D07917; Esomeprazole (INN)	NA
hsa00910	Nitrogen metabolism - Homo sapiens (human)	Metabolism; Energy metabolism	GLUD2; GLUD1; GLUL; CPS1; CA13; CA1; CA6; CA7; CA12; CA5B; CA14; CA9; CA3; CA5A; CA8; CA2; CA4	D07130; Carglumic acid (JAN/USAN/INN)	Arginine biosynthesis; Alanine, aspartate and glutamate metabolism; Glyoxylate and dicarboxylate metabolism
hsa00920	Sulfur metabolism - Homo sapiens (human)	Metabolism; Energy metabolism	PAPSS2; PAPSS1; BPNT1; BPNT2; SUOX; SQOR; ETHE1; MPST; TST; SELENBP1	NA	Glycine, serine and threonine metabolism; Cysteine and methionine metabolism
hsa00061	Fatty acid biosynthesis - Homo sapiens (human)	Metabolism; Lipid metabolism	ACACA; ACACB; ACSF3; MCAT; FASN; OXSM; CBR4; HSD17B8; HTD2; MECR; OLAH; ACSL6; ACSL4; ACSL1; ACSL5; ACSL3; ACSBG1; ACSBG2	D11186; Olumacostat glasaretil (USAN/INN); D11640; Firsocostat (USAN/INN); D11902; Clesacostat (USAN); D11903; Clesacostat tromethamine (USAN); D12391; Denifanstat (USAN/INN)	Citrate cycle (TCA cycle); Fatty acid elongation; Fatty acid degradation; beta-Alanine metabolism; Glycerolipid metabolism; Glycerophospholipid metabolism; Pyruvate metabolism; Lipoic acid metabolism
hsa00062	Fatty acid elongation - Homo sapiens (human)	Metabolism; Lipid metabolism	ACAA2; HADHB; HADH; HADHA; ECHS1; MECR; PPT1; PPT2; ELOVL1; ELOVL2; ELOVL3; ELOVL4; ELOVL5; ELOVL6; ELOVL7; HSD17B12; HACD2; HACD1; HACD4; HACD3; TECR; ACOT4; ACOT2; ACOT1; ACOT7; THEM4; THEM5	NA	Fatty acid degradation
hsa00071	Fatty acid degradation - Homo sapiens (human)	Metabolism; Lipid metabolism	ACAT2; ACAT1; ACAA1; ACAA2; HADHB; HADH; HADHA; EHHADH; ECHS1; ACOX3; ACOX1; ACADS; ACADM; ACADL; ACADSB; ACADVL; GCDH; ACSL6; ACSL4; ACSL1; ACSL5; ACSL3; ACSBG1; ACSBG2; CPT1A; CPT1B; CPT1C; CPT2; ECI1; ECI2; CYP2U1; ADH1A; ADH1B; ADH1C; ADH7; ADH4; ADH5; ADH6; ALDH2; ALDH3A2; ALDH1B1; ALDH7A1; ALDH9A1	D00123; Cyanamide (JP18); D00131; Disulfiram (JP18/USP/INN); D05292; Oxfenicine (USAN/INN)	Citrate cycle (TCA cycle); Fatty acid biosynthesis; Fatty acid elongation; Glycerolipid metabolism; Glyoxylate and dicarboxylate metabolism; Butanoate metabolism
hsa00100	Steroid biosynthesis - Homo sapiens (human)	Metabolism; Lipid metabolism	FDFT1; SQLE; LSS; CYP51A1; TM7SF2; LBR; MSMO1; NSDHL; HSD17B7; EBP; DHCR24; SC5D; DHCR7; LIPA; CEL; SOAT2; SOAT1; CYP2R1; CYP27B1; CYP24A1	D01202; Melinamide (JAN); D03012; Avasimibe (USAN/INN); D03025; Azalanstat dihydrochloride (USAN); D03447; Cetaben sodium (USAN); D03734; Eldacimibe (USAN/INN); D03735; Lecimibide (USAN); D06609; Lapaquistat acetate (JAN/USAN)	Primary bile acid biosynthesis; Steroid hormone biosynthesis; Terpenoid backbone biosynthesis
hsa00120	Primary bile acid biosynthesis - Homo sapiens (human)	Metabolism; Lipid metabolism	CYP46A1; CYP39A1; HSD3B7; CH25H; CYP7B1; CYP7A1; CYP27A1; CYP8B1; AKR1D1; AKR1C4; SLC27A5; AMACR; ACOX2; HSD17B4; SCP2; ACOT8; BAAT	NA	Steroid biosynthesis
