Pathway_ID	Pathway_Name	Class	Gene	Drug	Related_Pathway
hsa05167	Kaposi sarcoma-associated herpesvirus infection - Homo sapiens (human)	Human Diseases; Infectious disease: viral	C3; TLR3; TICAM1; TRAF3; IKBKE; TBK1; IRF7; IFNA1; IFNA2; IFNA4; IFNA5; IFNA6; IFNA7; IFNA8; IFNA10; IFNA13; IFNA14; IFNA16; IFNA17; IFNA21; IRF3; CREBBP; EP300; IFNB1; IFNAR1; IFNAR2; JAK1; TYK2; STAT1; STAT2; IRF9; EIF2AK2; MAPK11; MAPK12; MAPK13; MAPK14; MAPKAPK2; MAP2K6; ZFP36; IL6; CSF2; CCR3; CCR5; CCR1; CCR4; CCR8; FAS; FADD; CASP8; BID; BAX; BAK1; CYCS; CASP9; CASP3; TNFRSF1A; TRADD; TRAF2; CHUK; IKBKB; IKBKG; NFKBIA; NFKB1; RELA; TP53; CDKN1A; CDK4; CDK6; RB1; E2F1; E2F2; E2F3; HLA-A; HLA-B; HLA-C; HLA-F; HLA-G; HLA-E; IFNGR1; ICAM1; CD86; MICB; MICA; CLEC2B; UBA52; RPS27A; UBB; UBC; BECN1; BECN2; ATG14; PIK3C3; ATG3; MAP1LC3C; MAP1LC3B; MAP1LC3A; MAP1LC3B2; GNB1; GNB2; GNB3; GNB4; GNB5; GNG2; GNG3; GNG4; GNG5; GNG7; GNG8; GNG10; GNG11; GNG12; GNG13; GNGT1; GNGT2; HRAS; KRAS; NRAS; RAF1; MAP2K1; MAP2K2; MAPK1; MAPK3; HIF1A; JUN; FOS; PIK3CG; PIK3R5; PIK3R6; PIK3CA; PIK3CD; PIK3CB; PIK3R1; PIK3R2; PIK3R3; AKT1; AKT2; AKT3; MTOR; PREX1; RAC1; MAPK8; MAPK10; MAPK9; CD200R1L; CD200R1; SYK; SRC; HCK; LYN; MAP2K4; MAP2K7; PLCG2; PLCG1; ITPR1; ITPR2; ITPR3; CALML3; CALM2; CALM3; CALM1; CALML6; CALML5; CALML4; PPP3CA; PPP3CB; PPP3CC; PPP3R1; PPP3R2; NFATC1; NFATC2; NFATC3; NFATC4; CXCL8; PTGS2; CXCL1; CXCL2; CXCL3; RCAN1; FGF2; VEGFA; PDGFB; ANGPT2; IL6ST; JAK2; STAT3; GSK3B; CTNNB1; TCF7; TCF7L1; TCF7L2; LEF1; CREB1; CCND1; MYC	D02745; Interferon alfa-2b (USAN)	MAPK signaling pathway; NF-kappa B signaling pathway; Cell cycle; p53 signaling pathway; Autophagy - animal; Endocytosis; PI3K-Akt signaling pathway; Apoptosis; Wnt signaling pathway; Complement and coagulation cascades; Toll-like receptor signaling pathway; JAK-STAT signaling pathway; Natural killer cell mediated cytotoxicity; TNF signaling pathway
hsa05169	Epstein-Barr virus infection - Homo sapiens (human)	Human Diseases; Infectious disease: viral	CR2; CD19; HLA-DMA; HLA-DMB; HLA-DOA; HLA-DOB; HLA-DPA1; HLA-DPB1; HLA-DQA1; HLA-DQA2; HLA-DQB1; HLA-DRA; HLA-DRB1; HLA-DRB3; HLA-DRB4; HLA-DRB5; TLR2; MYD88; IRAK4; IRAK1; TRAF6; TAB1; TAB2; MAP3K7; CHUK; IKBKB; IKBKG; NFKBIA; NFKB1; RELA; TNF; IL6; RIGI; MAVS; TRAF3; TBK1; IKBKE; IRF7; IRF3; IFNA1; IFNA2; IFNA4; IFNA5; IFNA6; IFNA7; IFNA8; IFNA10; IFNA13; IFNA14; IFNA16; IFNA17; IFNA21; IFNB1; IFNAR1; IFNAR2; JAK1; TYK2; STAT1; STAT2; IRF9; EIF2AK2; OAS1; OAS2; OAS3; CXCL10; ISG15; FAS; FADD; CASP8; BID; BCL2L11; BCL2; BAX; BAK1; CYCS; APAF1; CASP9; CASP3; CD3E; CD3G; CD3D; CD247; PSMC2; PSMC1; PSMC4; PSMC6; PSMC3; PSMC5; PSMD2; PSMD1; PSMD3; PSMD12; PSMD11; PSMD6; PSMD7; PSMD13; PSMD4; PSMD14; PSMD8; ADRM1; SEM1; TAP1; TAP2; TAPBP; PDIA3; CALR; HLA-A; HLA-B; HLA-C; HLA-F; HLA-G; HLA-E; B2M; SNW1; SIN3A; HDAC1; HDAC2; NCOR2; SAP30; SAP30L; CIR1; RBPJL; RBPJ; HES1; FCER2; RUNX3; MYC; USP7; MDM2; TP53; CDKN1A; GADD45A; GADD45B; GADD45G; DDB2; POLK; TRAF5; PIK3CA; PIK3CD; PIK3CB; PIK3R1; PIK3R2; PIK3R3; AKT1; AKT2; AKT3; MAP3K14; RELB; NFKB2; TRADD; NFKBIB; NFKBIE; MAP2K4; MAP2K7; MAPK8; MAPK10; MAPK9; TRAF2; RIPK1; MAP2K3; MAP2K6; MAPK11; MAPK12; MAPK13; MAPK14; JUN; ENTPD3; ENTPD8; ENTPD1; CD40; CD44; ITGAL; CD58; ICAM1; VIM; TNFAIP3; JAK3; STAT3; LYN; SYK; NEDD4; RAC1; IGH; BTK; BLNK; PLCG2; SKP2; CDKN1B; CCND1; CCND2; CCND3; CDK4; CDK6; CCNA2; CCNA1; CCNE1; CCNE2; CDK2; RB1; E2F1; E2F2; E2F3	NA	Proteasome; MAPK signaling pathway; Calcium signaling pathway; NF-kappa B signaling pathway; Cell cycle; p53 signaling pathway; Apoptosis; Antigen processing and presentation; Toll-like receptor signaling pathway; RIG-I-like receptor signaling pathway; JAK-STAT signaling pathway; B cell receptor signaling pathway
hsa05165	Human papillomavirus infection - Homo sapiens (human)	Human Diseases; Infectious disease: viral	WNT1; WNT2; WNT2B; WNT3; WNT3A; WNT4; WNT5A; WNT5B; WNT6; WNT7A; WNT7B; WNT8A; WNT8B; WNT9A; WNT9B; WNT10B; WNT10A; WNT11; WNT16; FZD1; FZD7; FZD2; FZD3; FZD4; FZD5; FZD8; FZD6; FZD10; FZD9; DVL3; DVL2; DVL1; GSK3B; AXIN1; AXIN2; APC; APC2; CTNNB1; CSNK1A1L; CSNK1A1; TERT; TCF7; TCF7L1; TCF7L2; UBE3A; TLR3; TICAM1; TRAF3; IKBKE; TBK1; IRF3; IFNB1; CREBBP; EP300; TADA3; TP53; MAGI1; PTEN; PARD3; PARD6A; PARD6G; PARD6B; PRKCI; PRKCZ; CDC42; SCRIB; DLG1; DLG2; DLG3; LLGL2; LLGL1; CRB3; PATJ; PALS1; VWF; THBS1; COMP; THBS2; THBS3; THBS4; FN1; COL1A1; COL1A2; COL2A1; COL4A2; COL4A4; COL4A6; COL4A1; COL4A5; COL4A3; COL6A1; COL6A2; COL6A3; COL6A6; COL6A5; COL9A1; COL9A2; COL9A3; LAMA1; LAMA2; LAMA3; LAMA5; LAMA4; LAMB1; LAMB2; LAMB3; LAMB4; LAMC1; LAMC2; LAMC3; CHAD; RELN; SPP1; VTN; TNC; TNN; TNR; TNXB; IBSP; ITGA1; ITGA2; ITGA2B; ITGA3; ITGA4; ITGA5; ITGA6; ITGA7; ITGA8; ITGA9; ITGA10; ITGA11; ITGAV; ITGB1; ITGB3; ITGB4; ITGB5; ITGB6; ITGB7; ITGB8; PTK2; PXN; TNF; TNFRSF1A; TRADD; FASLG; FAS; FADD; CASP8; CASP3; NHERF1; PPP2CA; PPP2CB; PPP2R1B; PPP2R1A; PPP2R2A; PPP2R2B; PPP2R2C; PPP2R2D; PPP2R3B; PPP2R3C; PPP2R3A; PPP2R5B; PPP2R5C; PPP2R5D; PPP2R5E; PPP2R5A; TSC1; TSC2; RHEB; MTOR; EIF4EBP1; RPS6KB1; RPS6KB2; BAK1; BAD; PDGFRB; PIK3CA; PIK3CD; PIK3CB; PIK3R1; PIK3R2; PIK3R3; AKT1; AKT2; AKT3; FOXO1; CDKN1B; CDKN1A; CCND1; CCND2; CCND3; CDK4; CDK6; CCNE1; CCNE2; CDK2; RB1; RBL1; RBL2; PSMC1; E2F1; CCNA2; CCNA1; ATM; ATR; VEGFA; CHUK; IKBKB; IKBKG; NFKB1; RELA; MDM2; NFX1; HDAC1; HDAC2; CHD4; IRF1; TBPL2; TBPL1; TBP; HLA-A; HLA-B; HLA-C; HLA-F; HLA-G; HLA-E; BCAP31; ATP6V1A; ATP6V1B1; ATP6V1B2; ATP6V1C2; ATP6V1C1; ATP6V1D; ATP6V1E2; ATP6V1E1; ATP6V1F; ATP6V1G1; ATP6V1G3; ATP6V1G2; ATP6V1H; TCIRG1; ATP6V0A2; ATP6V0A4; ATP6V0A1; ATP6V0D1; ATP6V0D2; ATP6V0E1; ATP6V0E2; ATP6V0C; ATP6V0B; ATP6AP1; EGF; EGFR; GRB2; SOS1; SOS2; HRAS; KRAS; NRAS; RAF1; MAP2K1; MAP2K2; MAPK1; MAPK3; PTGS2; PTGER4; GNAS; PRKACA; PRKACB; PRKACG; BAX; CREB1; CREB3; CREB3L1; CREB3L2; CREB3L3; CREB3L4; CREB5; UBR4; TUBG2; TUBG1; PKM; IFNA1; IFNA2; IFNA4; IFNA5; IFNA6; IFNA7; IFNA8; IFNA10; IFNA13; IFNA14; IFNA16; IFNA17; IFNA21; IFNAR1; IFNAR2; JAK1; TYK2; STAT1; STAT2; IRF9; EIF2AK2; OASL; MX1; MX2; ISG15; JAG1; NOTCH1; NOTCH2; NOTCH3; NOTCH4; PSEN1; MFNG; LFNG; RFNG; MAML3; MAML2; MAML1; RBPJL; RBPJ; HES1; HES2; HES6; HES7; HES3; HES4; HES5; HEYL; HEY1; HEY2	NA	NF-kappa B signaling pathway; Cell cycle; p53 signaling pathway; mTOR signaling pathway; PI3K-Akt signaling pathway; Apoptosis; Wnt signaling pathway; Notch signaling pathway; Focal adhesion; Adherens junction; Tight junction; Antigen processing and presentation; Toll-like receptor signaling pathway; JAK-STAT signaling pathway
hsa05110	Vibrio cholerae infection - Homo sapiens (human)	Human Diseases; Infectious disease: bacterial	ATP6V1A; ATP6V1B1; ATP6V1B2; ATP6V1C2; ATP6V1C1; ATP6V1D; ATP6V1E2; ATP6V1E1; ATP6V1F; ATP6V1G1; ATP6V1G3; ATP6V1G2; ATP6V0E1; ATP6V0E2; TCIRG1; ATP6V0A2; ATP6V0A4; ATP6V0A1; ATP6V0D1; ATP6V0D2; ATP6V1H; ATP6AP1; ATP6V0C; ATP6V0B; KDELR1; KDELR2; KDELR3; PDIA4; ERO1A; SEC61A1; SEC61A2; SEC61B; SEC61G; ARF1; GNAS; ADCY3; ADCY9; PRKACA; PRKACB; PRKACG; CFTR; KCNQ1; SLC12A2; ACTG1; ACTB; PLCG1; PLCG2; PRKCA; TJP1; TJP2	NA	Oxidative phosphorylation; Tight junction
hsa05120	Epithelial cell signaling in Helicobacter pylori infection - Homo sapiens (human)	Human Diseases; Infectious disease: bacterial	PTPN11; MET; PLCG1; PLCG2; TJP1; F11R; JAM2; JAM3; IGSF5; ADAM17; HBEGF; EGFR; CXCL8; CXCR1; CXCR2; ADAM10; SRC; LYN; CSK; RAC1; CDC42; MAPK11; MAPK12; MAPK13; MAPK14; PAK1; MAP2K4; MAPK8; MAPK10; MAPK9; JUN; MAP3K14; CHUK; IKBKB; IKBKG; NFKBIA; NFKB1; RELA; NOD1; CXCL1; CXCL2; CXCL3; CCL5; PTPRZ1; GIT1; CASP3; ATP6V1A; ATP6V1B1; ATP6V1B2; ATP6V1C2; ATP6V1C1; ATP6V1D; ATP6V1E2; ATP6V1E1; ATP6V1F; ATP6V1G1; ATP6V1G3; ATP6V1G2; ATP6V0E1; ATP6V0E2; TCIRG1; ATP6V0A2; ATP6V0A4; ATP6V0A1; ATP6V0D1; ATP6V0D2; ATP6V1H; ATP6AP1; ATP6V0C; ATP6V0B	NA	Oxidative phosphorylation; MAPK signaling pathway; Apoptosis; Tight junction
hsa05130	Pathogenic Escherichia coli infection - Homo sapiens (human)	Human Diseases; Infectious disease: bacterial	IGH; SRC; FCGR2A; RAC1; CYTH3; CYTH4; CYTH2; CYTH1; ARF6; ARF1; NCKAP1; NCKAP1L; CYFIP1; CYFIP2; ABI1; BRK1; WASF1; WASF2; WASF3; ACTR2; ACTR3B; ACTR3C; ACTR3; ARPC1B; ARPC1A; ARPC2; ARPC3; ARPC4; ARPC5; ARPC5L; ACTG1; ACTB; ARHGEF1; RHOA; CDC42; MYO1H; MYO1B; MYO1F; MYO1A; MYO1C; MYO1D; MYO1E; MYO1G; MYO5A; MYO5B; MYO5C; MYO6; MYO10; MYH9; MYH10; MYH11; MYH14; WASL; NHERF1; EZR; F2; LPAR1; LPAR2; LPAR4; LPAR5; F2R; GNA12; GNA13; ARHGEF11; ARHGEF12; TUBA1B; TUBA4A; TUBA3C; TUBA1A; TUBA1C; TUBA8; TUBA3E; TUBA3D; TUBAL3; TUBB6; TUBB; TUBB1; TUBB2A; TUBB3; TUBB4A; TUBB8; TUBB2B; TUBB4B; ARHGEF2; ROCK1; ROCK2; FYN; ABL1; BAIAP2L1; BAIAP2; NCK1; NCK2; WIPF2; WIPF1; WIPF3; CTTN; HCLS1; NCL; ITGB1; IL1B; IL1R1; TLR4; TIRAP; MYD88; TLR5; IRAK1; IRAK4; PTPN6; PTPN11; TRAF6; TNF; TNFRSF1A; TRADD; GAPDH; TRAF2; RIPK1; MAP3K7; TAB1; TAB2; TAB3; IKBKG; CHUK; IKBKB; NFKBIA; NFKBIB; NFKB1; RELA; RPS3; MAPK1; MAPK3; MAPK8; MAPK10; MAPK9; MAPK11; MAPK12; MAPK13; MAPK14; FOS; JUN; IL6; CXCL8; TNFSF10; TNFRSF10A; TNFRSF10B; FASLG; FAS; FADD; CASP8; TMBIM6; BAK1; BAX; CYCS; CASP9; CASP3; CASP7; ABCF2; NAIP; NLRP4; NLRP3; PYCARD; CASP1; CASP4; IL18; PAK1; PAK2; PAK3; RAB1A; SEC24B; SEC24A; SEC24C; SEC24D; TMED10; OCLN; CLDN4; CLDN3; CLDN7; CLDN19; CLDN16; CLDN14; CLDN15; CLDN17; CLDN20; CLDN11; CLDN18; CLDN22; CLDN5; CLDN10; CLDN8; CLDN6; CLDN2; CLDN1; CLDN9; CLDN23; CLDN34; CLDN25; CLDN24; CLDN12; TJP1	NA	NF-kappa B signaling pathway; Apoptosis; Tight junction; Toll-like receptor signaling pathway; NOD-like receptor signaling pathway; Fc gamma R-mediated phagocytosis; Regulation of actin cytoskeleton
hsa05132	Salmonella infection - Homo sapiens (human)	Human Diseases; Infectious disease: bacterial	PODXL; PTPRC; RAB5A; RAB5B; RAB5C; PIK3C3; RAB7A; RAB7B; PLEKHM1; VPS11; VPS16; VPS18; VPS33A; VPS39; VPS41; RILP; DYNC1H1; DYNC2H1; DYNC1I1; DYNC1I2; DYNC1LI2; DYNC1LI1; DYNC2LI1; DYNLL1; DYNLL2; DYNLRB1; DYNLRB2; DYNLT1; DYNLT3; DCTN1; DCTN2; DCTN3; DCTN4; DCTN5; DCTN6; ACTR1A; ACTR1B; ACTR10; TUBA1B; TUBA4A; TUBA3C; TUBA1A; TUBA1C; TUBA8; TUBA3E; TUBA3D; TUBAL3; TUBB6; TUBB; TUBB1; TUBB2A; TUBB3; TUBB4A; TUBB8; TUBB2B; TUBB4B; FYCO1; ARL8A; ARL8B; PLEKHM2; KIF5A; KIF5B; KIF5C; KLC3; KLC1; KLC2; KLC4; ACBD3; RHOA; M6PR; RAB9A; RAB9B; GCC2; STX10; PFN3; PFN1; PFN2; PFN4; FLNA; EXOC7; EXOC5; EXOC4; EXOC2; RALA; ACTG1; ACTB; S100A10; ANXA2; AHNAK; AHNAK2; RHOJ; ARHGEF26; RHOG; ELMO1; ELMO2; ROCK2; MYL2; MYL5; MYL7; MYL9; MYL10; MYL12B; MYL12A; MYL11; FHOD1; CDC42; RAC1; NCKAP1; NCKAP1L; CYFIP1; CYFIP2; ABI1; BRK1; WASF3; ACTR2; ACTR3B; ACTR3C; ACTR3; ARPC1B; ARPC1A; ARPC2; ARPC3; ARPC4; ARPC5; ARPC5L; PAK1; PAK3; MYO6; PIK3CA; PIK3CD; PIK3CB; PIK3CG; PIK3C2G; PIK3C2A; PIK3C2B; CYTH3; CYTH4; CYTH2; CYTH1; ARF6; ARF1; SNX18; SNX33; SNX9; WASL; DNM2; TLR6; TLR2; TIRAP; MYD88; CD14; TLR4; LY96; TLR5; TLR9; IRAK1; IRAK4; TRAF6; MAP3K7; TAB1; TAB2; TAB3; IKBKG; CHUK; IKBKB; NFKBIA; NFKB1; RELA; NOD1; HSP90AA1; HSP90AB1; HSP90B1; RIPK2; CSE1L; KPNA1; KPNA3; KPNA4; RPS3; HRAS; RAF1; MAP2K1; MAP2K2; MAPK1; MAPK3; MAP2K3; MAP2K6; MAPK11; MAPK12; MAPK13; MAPK14; MAP2K4; MAP2K7; MAPK8; MAPK10; MAPK9; FOS; JUN; TNF; IL1B; IL6; CXCL8; CTNNB1; TCF7; TCF7L1; TCF7L2; LEF1; MYC; PKN1; FBXO22; SKP1; TNFRSF1A; TRAF2; TRADD; BIRC2; BIRC3; RIPK1; GAPDH; TNFSF10; TNFRSF10A; TNFRSF10B; FADD; CASP8; RIPK3; BAX; BAK1; CYCS; BCL2; CASP3; CASP7; RHOB; RHOH; RRAS; AKT1; AKT2; AKT3; MLKL; TXN; TXN2; NLRP3; NAIP; NLRC4; PYCARD; CASP1; IL18; CASP4; CASP5; GSDMD	NA	MAPK signaling pathway; NF-kappa B signaling pathway; Apoptosis; Necroptosis; NOD-like receptor signaling pathway
hsa05131	Shigellosis - Homo sapiens (human)	Human Diseases; Infectious disease: bacterial	CD44; ITGA5; ITGB1; SRC; PTK2; CRK; CRKL; BCAR1; CTTN; HCLS1; PXN; ELMO1; ELMO2; DOCK1; RAC1; WASF1; WASF2; ACTR2; ACTR3B; ACTR3C; ACTR3; ARPC1B; ARPC1A; ARPC2; ARPC3; ARPC4; ARPC5; ARPC5L; ACTG1; ACTB; RHOA; DIAPH1; ROCK1; ROCK2; MYL2; MYL5; MYL7; MYL9; MYL10; MYL12B; MYL12A; MYL11; ACTN1; ACTN4; ILK; TLN1; TLN2; VCL; CDC42; WASL; PFN3; PFN1; PFN2; PFN4; EGFR; PIK3CA; PIK3CD; PIK3CB; PIK3R1; PIK3R2; PIK3R3; CYTH3; CYTH4; CYTH2; CYTH1; ARF6; ARF1; AKT1; AKT2; AKT3; FOXO1; FOXO3; FOXO4; FOXO6; GSK3A; GSK3B; RPS6KB1; RPS6KB2; MDM2; PLCB1; PLCB2; PLCB3; PLCB4; PLCD1; PLCD3; PLCD4; PLCE1; PLCG1; PLCG2; PLCZ1; ITPR1; ITPR2; ITPR3; CAST; CAPN1; CAPN2; CAPNS1; ATM; TP53; BCL2L1; BCL2; HK3; HK1; HK2; HKDC1; VDAC1; BAX; CYCS; BNIP3; PPID; CASP4; IL1B; IL18; TNF; TNFRSF1A; TRADD; TRAF2; TRAF5; RIPK1; MAP3K7; TAB1; TAB2; TAB3; IKBKG; CHUK; IKBKB; NFKBIA; NFKBIB; NFKB1; RELA; CXCL8; TIFA; IL1R1; CD14; TLR4; TLR5; TRAF6; PRKCD; PRKCE; PRKCQ; MALT1; BCL10; NOD1; ARHGEF2; RIPK2; MAPK8; MAPK10; MAPK9; JUN; UBE2V1; UBE2V2; UBE2NL; UBE2N; RBCK1; RNF31; SHARPIN; TNIP1; UBE2D4; UBE2D1; UBE2D2; UBE2D3; RBX1; CUL1; SKP1; BTRC; FBXW11; CGAS; STING1; MYD88; TBK1; IRF3; IFNB1; U2AF1; U2AF1L5; U2AF1L4; CCL5; CSF2; MAPK1; MAPK3; MAPK11; MAPK12; MAPK13; MAPK14; RPS6KA5; H3-5; H3-3B; H3C4; H3C3; H3C1; H3-3A; H3-4; H3C14; H3C15; H3C13; H3C6; H3C11; H3C8; H3C12; H3C10; H3C2; H3C7; CBX3; BECN1; BECN2; ATG14; PIK3R4; PIK3C3; RRAGA; RRAGB; RRAGC; RRAGD; MTOR; RPTOR; AKT1S1; ATG16L1; ATG5; ATG12; MAP1LC3C; MAP1LC3B; MAP1LC3A; MAP1LC3B2; C3; SQSTM1; CALCOCO2; UBA52; RPS27A; UBB; UBC; SEPTIN2; SEPTIN9; SEPTIN12; SEPTIN3; SEPTIN6; SEPTIN11; SEPTIN8; SEPTIN7; WIPI2; WIPI1; TECPR1; FNBP1; FNBP1L; GLMN; NLRP3; NAIP; NLRC4; PYCARD; CASP1	NA	MAPK signaling pathway; NF-kappa B signaling pathway; Autophagy - animal; Apoptosis; Focal adhesion; NOD-like receptor signaling pathway; Cytosolic DNA-sensing pathway; Regulation of actin cytoskeleton
hsa05135	Yersinia infection - Homo sapiens (human)	Human Diseases; Infectious disease: bacterial	FN1; ITGA4; ITGA5; ITGB1; RHOG; SRC; PTK2; PTK2B; CRK; CRKL; BCAR1; ELMO1; ELMO2; DOCK1; IGH; FCGR2A; RAC1; RAC2; RAC3; PIP5K1C; PIP5K1A; PIP5K1B; ARF6; WASL; ACTR2; ACTR3B; ACTR3C; ACTR3; ARPC1B; ARPC1A; ARPC2; ARPC3; ARPC4; ARPC5; ARPC5L; ACTG1; ACTB; WIPF2; WIPF1; WIPF3; BAIAP2; WASF2; PXN; GIT2; ARHGEF7; CDC42; WAS; GNAQ; ARHGEF12; ARHGEF1; ARHGEF28; RHOA; ROCK1; ROCK2; FYB1; SKAP2; NLRP3; NLRC4; PKN1; PKN2; RPS6KA3; RPS6KA1; RPS6KA2; RPS6KA6; MEFV; LIMK1; PYCARD; CASP1; IL18; IL1B; TLR4; MYD88; IRAK4; IRAK1; TRAF6; TRAF2; TAB1; TAB2; MAP3K7; IKBKG; CHUK; IKBKB; NFKBIA; NFKB1; RELA; MAP2K1; MAP2K2; MAPK1; MAPK3; MAP2K3; MAP2K6; MAPK11; MAPK12; MAPK13; MAPK14; MAP2K4; MAP2K7; MAPK8; MAPK10; MAPK9; FOS; JUN; TICAM1; TBK1; IRF3; TNF; IL6; CXCL8; IFNB1; PIK3CA; PIK3CD; PIK3CB; PIK3R1; PIK3R2; PIK3R3; AKT1; AKT2; AKT3; GSK3B; CCL2; CD4; CD8A; CD8B; CD8B2; LCK; ZAP70; LAT; LCP2; VAV3; VAV1; VAV2; PLCG1; NFATC1; NFATC2; NFATC3; IL2; IL10	NA	Focal adhesion; Toll-like receptor signaling pathway; NOD-like receptor signaling pathway; T cell receptor signaling pathway; Fc gamma R-mediated phagocytosis; Regulation of actin cytoskeleton
hsa05133	Pertussis - Homo sapiens (human)	Human Diseases; Infectious disease: bacterial	ITGA5; ITGB1; ITGAM; ITGB2; CALML3; CALM2; CALM3; CALM1; CALML6; CALML5; CALML4; RHOA; CFL1; CFL2; CASP3; CASP7; CASP1; PYCARD; NLRP3; IL1B; C1QA; C1QB; C1QC; C1R; C1S; C2; C4A; C4B; C3; C5; SERPING1; C4BPA; C4BPB; LY96; TLR4; CD14; TIRAP; MYD88; IRAK4; IRAK1; TRAF6; NFKB1; RELA; TICAM2; TICAM1; IRF3; MAPK11; MAPK12; MAPK13; MAPK14; MAPK8; MAPK10; MAPK9; MAPK1; MAPK3; FOS; JUN; IL6; IL12A; IL12B; IL23A; TNF; IL10; IRF1; IRF8; SFTPA1; SFTPA2; GNAI1; GNAI3; GNAI2; CXCL8; CXCL5; CXCL6; NOD1; IL1A; NOS2	NA	MAPK signaling pathway; Apoptosis; Complement and coagulation cascades; Toll-like receptor signaling pathway
hsa05134	Legionellosis - Homo sapiens (human)	Human Diseases; Infectious disease: bacterial	HSPD1; C3; CR1; CR1L; ITGAM; ITGB2; ARF1; RAB1A; RAB1B; SEC22B; SAR1A; SAR1B; VCP; APAF1; CYCS; CASP9; CASP3; CASP8; BNIP3; BCL2L13; NFKB2; NFKBIA; NFKB1; RELA; CLK4; CLK1; HBS1L; EEF1A1; EEF1A2; HSF1; HSPA8; HSPA1A; HSPA1L; HSPA1B; HSPA6; EEF1G; NAIP; CASP7; NLRC4; PYCARD; CASP1; IL18; IL1B; TLR5; TLR2; CD14; TLR4; MYD88; TNF; IL6; IL12A; IL12B; CXCL8; CXCL1; CXCL2; CXCL3	NA	Apoptosis; Complement and coagulation cascades; Toll-like receptor signaling pathway
hsa05150	Staphylococcus aureus infection - Homo sapiens (human)	Human Diseases; Infectious disease: bacterial	KRT9; KRT10; KRT12; KRT13; KRT14; KRT15; KRT16; KRT17; KRT18; KRT19; KRT31; KRT32; KRT33A; KRT33B; KRT34; KRT35; KRT40; KRT39; KRT23; KRT25; KRT28; KRT24; KRT27; KRT20; KRT38; KRT37; KRT36; keratin, type I cuticular Ha4 [KO:K07604]; KRT26; FGG; C3; CFB; CFD; CFH; MBL2; MASP1; MASP2; IGH; C1QA; C1QB; C1QC; C1R; C1S; C2; C4A; C4B; C5; C3AR1; C5AR1; FCGR1A; FCGR2A; FCGR2B; FCGR2C; FCGR3A; FCGR3B; FCAR; FPR3; FPR2; FPR1; PLG; CFI; SELPLG; SELP; ICAM1; ITGAL; ITGAM; ITGB2; DEFB1; DEFB4A; DEFB4B; DEFB103A; DEFB103B; DEFA1; DEFA3; DEFA4; DEFA5; DEFA6; DEFA1B; CAMP; DSG1; HLA-DMA; HLA-DMB; HLA-DOA; HLA-DOB; HLA-DPA1; HLA-DPB1; HLA-DQA1; HLA-DQA2; HLA-DQB1; HLA-DRA; HLA-DRB1; HLA-DRB3; HLA-DRB4; HLA-DRB5; PTAFR; IL10	NA	Complement and coagulation cascades; T cell receptor signaling pathway; B cell receptor signaling pathway
hsa05152	Tuberculosis - Homo sapiens (human)	Human Diseases; Infectious disease: bacterial	TNF; TNFRSF1A; TRADD; FADD; CASP8; CASP10; CASP3; BID; BAX; CYCS; CASP9; APAF1; AKT1; AKT2; AKT3; BAD; BCL2; CAMK2A; CAMK2D; CAMK2B; CAMK2G; IFNG; IFNGR1; IFNGR2; JAK1; JAK2; STAT1; CIITA; RFX5; RFXANK; RFXAP; NFYA; NFYB; NFYC; CREB1; HLA-DMA; HLA-DMB; HLA-DOA; HLA-DOB; HLA-DPA1; HLA-DPB1; HLA-DQA1; HLA-DQA2; HLA-DQB1; HLA-DRA; HLA-DRB1; HLA-DRB3; HLA-DRB4; HLA-DRB5; CD74; CREBBP; EP300; IL10; IL10RA; IL10RB; CTSS; CLEC4E; FCER1G; CLEC7A; SRC; SYK; CARD9; MALT1; BCL10; NOD2; RIPK2; HSPA9; HSPD1; LBP; TLR2; TLR1; TLR6; TLR4; CD14; TIRAP; MYD88; IRAK4; IRAK1; IRAK2; TRAF6; NFKB1; RELA; MAPK11; MAPK12; MAPK13; MAPK14; MAPK1; MAPK3; MAPK8; MAPK10; MAPK9; NOS2; IL6; IL12A; IL12B; IL18; IL23A; IL1A; IL1B; CEBPB; CEBPG; TLR9; IFNA1; IFNA2; IFNA4; IFNA5; IFNA6; IFNA7; IFNA8; IFNA10; IFNA13; IFNA14; IFNA16; IFNA17; IFNA21; IFNB1; CLEC4M; CD209; ARHGEF12; RHOA; LSP1; PLK3; KSR1; RAF1; TGFB1; TGFB2; TGFB3; CYP27B1; VDR; CAMP; C3; CR1; CR1L; ITGAX; ITGB2; ITGAM; PLA2R1; MRC1; MRC2; SPHK1; SPHK2; CALML3; CALM2; CALM3; CALM1; CALML6; CALML5; CALML4; PIK3C3; RAB5A; RAB5B; RAB5C; EEA1; RAB7A; CTSD; TCIRG1; ATP6V0A2; ATP6V0A4; ATP6V0A1; ATP6V0D1; ATP6V0D2; ATP6V1H; ATP6AP1; ATP6V0C; ATP6V0B; LAMP1; LAMP2; PPP3CA; PPP3CB; PPP3CC; PPP3R1; PPP3R2; CORO1A; IGH; FCGR1A; FCGR2A; FCGR2B; FCGR2C; FCGR3A; FCGR3B	NA	MAPK signaling pathway; Apoptosis; Antigen processing and presentation; Toll-like receptor signaling pathway; NOD-like receptor signaling pathway; JAK-STAT signaling pathway
